"last_name, first_name","player_id","year","ab","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba"
"Bart, Joey","663698","2024","114","6",27.5,10.7,".237",".439",".328","0.767",".335"
"Loftin, Nick","679845","2024","141","1",13.4,11.6,".199",".248",".294","0.542",".253"
"Farmer, Kyle","571657","2024","132","0",20.5,8.6,".189",".265",".291","0.556",".256"
"Lowe, Nathaniel","663993","2024","298","9",21.6,13,".272",".403",".366","0.769",".341"
"Carlson, Dylan","666185","2024","121","0",26.8,8.7,".198",".240",".275","0.515",".238"
"Neto, Zach","687263","2024","351","13",22.2,5.5,".256",".433",".312","0.745",".324"
"Hernández, Teoscar","606192","2024","404","22",27.8,7.8,".265",".483",".330","0.813",".350"
"Buxton, Byron","621439","2024","274","12",26.4,4.7,".281",".511",".334","0.845",".361"
"Manzardo, Kyle","700932","2024","82","0",26.4,3.4,".207",".329",".241","0.570",".248"
"Naylor, Josh","647304","2024","361","22",17.4,9.3,".241",".471",".321","0.792",".337"
"Castellanos, Nick","592206","2024","407","15",21.8,6.1,".241",".410",".293","0.703",".305"
"Senzel, Nick","669222","2024","219","7",22.2,10.9,".196",".338",".287","0.625",".279"
"Merrifield, Whit","593160","2024","156","3",10.9,8.6,".199",".295",".277","0.572",".259"
"Benson, Will","666181","2024","279","12",40,9.8,".194",".394",".277","0.671",".293"
"Dunn, Oliver","686554","2024","95","1",38.5,5.8,".221",".316",".282","0.598",".267"
"Trout, Mike","545361","2024","109","10",21.4,12.7,".220",".541",".325","0.866",".366"
"Duvall, Adam","594807","2024","271","10",28.8,6.4,".188",".336",".251","0.587",".259"
"Marte, Ketel","606466","2024","394","24",17.5,10,".299",".543",".368","0.911",".383"
"Cowser, Colton","681297","2024","296","15",28.8,9.5,".240",".449",".323","0.772",".333"
"Triolo, Jared","669707","2024","251","4",26.5,9.2,".199",".271",".276","0.547",".249"
"Thomas, Alek","677950","2024","71","3",19.7,5.3,".197",".408",".240","0.648",".278"
"Suárez, Eugenio","553993","2024","356","13",28.7,9.1,".219",".385",".301","0.686",".301"
"Rodgers, Brendan","663898","2024","327","7",22.5,6.3,".263",".382",".311","0.693",".303"
"Bohm, Alec","664761","2024","397","11",14.4,7.9,".295",".474",".354","0.828",".355"
"Rendon, Anthony","543685","2024","128","0",18.3,7.7,".227",".273",".289","0.562",".255"
"Pagés, Pedro","686780","2024","106","2",22.9,7.6,".245",".358",".299","0.657",".288"
"Yelich, Christian","592885","2024","270","11",18.4,12.7,".315",".504",".406","0.910",".392"
"Fermin, Freddy","666023","2024","199","5",18.9,6.5,".291",".417",".341","0.758",".330"
"Friedl Jr., TJ","670770","2024","110","5",16.8,7.2,".209",".364",".304","0.668",".300"
"Turner, Trea","607208","2024","280","13",19.5,5.6,".321",".511",".371","0.882",".382"
"Stubbs, Garrett","596117","2024","121","1",26.1,10.1,".198",".240",".292","0.532",".250"
"Soler, Jorge","624585","2024","341","12",24.7,11.2,".240",".419",".330","0.749",".328"
"Westburg, Jordan","676059","2024","384","18",21.5,5.1,".273",".505",".320","0.825",".353"
"Olson, Matt","621566","2024","392","15",28.2,8.4,".224",".398",".301","0.699",".304"
"Rutschman, Adley","668939","2024","395","17",16.8,9.3,".263",".425",".331","0.756",".329"
"Wisely, Brett","689172","2024","174","3",24.3,4.3,".264",".391",".299","0.690",".300"
"Ward, Taylor","621493","2024","379","16",24.9,10.4,".227",".401",".309","0.710",".311"
"Machado, Manny","592518","2024","385","14",20.9,7,".262",".416",".315","0.731",".314"
"Suwinski, Jack","669261","2024","247","9",28.5,9.7,".182",".324",".264","0.588",".260"
"García, Luis","671277","2024","333","11",16,4.6,".276",".435",".309","0.744",".322"
"Martini, Nick","605361","2024","146","5",23.3,5.5,".212",".370",".272","0.642",".279"
"Solano, Donovan","456781","2024","174","3",18.8,6.8,".299",".402",".356","0.758",".335"
"Gonzales, Nick","693304","2024","248","5",21.3,4.1,".258",".387",".293","0.680",".293"
"Carroll, Corbin","682998","2024","384","8",18.4,10.2,".214",".359",".303","0.662",".293"
"Gelof, Zack","680869","2024","309","13",35,6.8,".191",".359",".254","0.613",".269"
"Bryant, Kris","592178","2024","102","2",32.8,10.1,".196",".284",".311","0.595",".277"
"Crawford, J.P.","641487","2024","294","9",22.7,11.3,".204",".347",".299","0.646",".289"
"Ibáñez, Andy","628451","2024","141","4",25.5,5.2,".284",".433",".327","0.760",".329"
"Candelario, Jeimer","600869","2024","359","17",24,6.1,".228",".440",".284","0.724",".310"
"De La Cruz, Bryan","650559","2024","424","18",26,5.5,".245",".417",".289","0.706",".305"
"Morel, Christopher","666624","2024","362","18",24.5,11.2,".199",".373",".302","0.675",".298"
"Fitzgerald, Tyler","666149","2024","116","9",29.7,8.6,".319",".638",".383","1.021",".431"
"O'Neill, Tyler","641933","2024","289","22",32.4,10.9,".270",".554",".355","0.909",".382"
"Pages, Andy","681624","2024","320","8",24.9,5.7,".244",".378",".297","0.675",".296"
"Davis, J.D.","605204","2024","142","4",24.8,7.6,".218",".338",".293","0.631",".283"
"Rooker Jr., Brent","667670","2024","341","25",30.6,10.1,".296",".587",".370","0.957",".404"
"Pillar, Kevin","607680","2024","181","7",18.1,5,".287",".481",".343","0.824",".356"
"Fraley, Jake","641584","2024","226","2",20,6.1,".279",".372",".327","0.699",".307"
"Chisholm Jr., Jazz","665862","2024","395","15",24.8,9.1,".251",".420",".325","0.745",".322"
"Guillorme, Luis","641645","2024","112","0",18.4,8.8,".232",".304",".298","0.602",".270"
"Conforto, Michael","624424","2024","280","10",24.4,9,".225",".411",".299","0.710",".308"
"Jeffers, Ryan","680777","2024","286","15",20.2,7,".231",".451",".313","0.764",".331"
"Azocar, José","640492","2024","73","0",24.1,6.3,".219",".247",".269","0.516",".235"
"Heim, Jonah","641680","2024","329","9",18.4,5.9,".234",".343",".280","0.623",".275"
"Harris, Brett","695391","2024","99","3",20.2,14.3,".152",".273",".286","0.559",".261"
"Greene, Riley","682985","2024","371","17",25.5,11.9,".264",".485",".357","0.842",".362"
"Perkins, Blake","663368","2024","265","6",26.6,9.4,".253",".362",".330","0.692",".309"
"Palacios, Richie","680700","2024","250","5",22,13.2,".236",".336",".347","0.683",".308"
"Amaya, Miguel","665804","2024","202","3",19.9,7.1,".213",".292",".278","0.570",".257"
"Trevino, Jose","624431","2024","168","8",17.2,7,".244",".411",".303","0.714",".311"
"Stephenson, Tyler","663886","2024","276","11",18,9,".236",".420",".315","0.735",".320"
"Caratini, Victor","605170","2024","115","5",14.2,4.7,".270",".461",".315","0.776",".332"
"Kirk, Alejandro","672386","2024","183","2",13.8,9,".240",".322",".305","0.627",".276"
"Langford, Wyatt","694671","2024","312","5",20.3,8.1,".250",".375",".314","0.689",".300"
"Massey, Michael","686681","2024","177","8",14.8,3.2,".249",".441",".273","0.714",".302"
"Rizzo, Anthony","519203","2024","264","8",16.5,6.5,".223",".341",".289","0.630",".280"
"Crow-Armstrong, Pete","691718","2024","187","3",25,4.4,".193",".310",".240","0.550",".242"
"Suzuki, Seiya","673548","2024","317","15",27.7,8.7,".265",".476",".339","0.815",".351"
"Young, Jacob","696285","2024","303","1",20.1,5.9,".254",".320",".318","0.638",".288"
"Adames, Willy","642715","2024","405","17",23,11.1,".249",".435",".333","0.768",".333"
"Kelly, Carson","608348","2024","179","7",19.7,8.4,".240",".391",".325","0.716",".317"
"Hampson, Garrett","641658","2024","146","0",26.1,5.7,".253",".342",".297","0.639",".282"
"Realmuto, J.T.","592663","2024","228","7",25.9,6.1,".250",".386",".304","0.690",".303"
"Fry, David","681807","2024","234","8",21.1,12.1,".286",".449",".391","0.840",".365"
"Arcia, Orlando","606115","2024","348","9",21.5,5.1,".221",".351",".261","0.612",".265"
"DeJong, Paul","657557","2024","337","18",30.9,3.9,".228",".430",".275","0.705",".304"
"Drury, Brandon","592273","2024","181","1",21.3,7.9,".160",".199",".238","0.437",".205"
"Rojas, Miguel","500743","2024","192","3",10.6,5.8,".271",".406",".316","0.722",".315"
"Polanco, Jorge","593871","2024","250","9",30.7,9.3,".208",".336",".289","0.625",".279"
"Martínez, Angel","682657","2024","90","2",16.7,9.8,".244",".378",".317","0.695",".306"
"Wade Jr., LaMonte","664774","2024","190","3",22.3,17.6,".295",".395",".424","0.819",".365"
"Frelick, Sal","686217","2024","315","2",16.7,9,".267",".343",".340","0.683",".307"
"Marte, Starling","516782","2024","245","7",21.1,6.4,".278",".416",".328","0.744",".325"
"Varsho, Daulton","662139","2024","326","13",26.8,9.9,".199",".402",".280","0.682",".296"
"Maldonado, Martín","455117","2024","135","4",34.7,5.4,".119",".230",".174","0.404",".182"
"De La Cruz, Elly","682829","2024","392","18",30.8,10.9,".263",".490",".352","0.842",".363"
"Blanco, Dairon","680118","2024","89","1",23.5,5.1,".236",".303",".281","0.584",".261"
"Cooper, Garrett","643265","2024","107","1",30.2,6,".206",".299",".267","0.566",".254"
"Slater, Austin","596103","2024","108","1",27.8,13.5,".185",".222",".308","0.530",".254"
"García, Adolis","666969","2024","384","18",26.1,7.3,".211",".393",".275","0.668",".289"
"Pederson, Joc","592626","2024","250","15",24.3,11.3,".280",".524",".384","0.908",".389"
"Burger, Jake","669394","2024","318","13",26.9,5.6,".233",".399",".281","0.680",".295"
"Malloy, Justyn-Henry","669234","2024","127","7",34.9,11,".213",".417",".308","0.725",".318"
"Cabrera, Oswaldo","665828","2024","240","6",19.9,6.1,".246",".354",".292","0.646",".284"
"McCutchen, Andrew","457705","2024","339","13",25.9,11.8,".224",".383",".326","0.709",".315"
"Gonzalez, Romy","663853","2024","99","2",21.1,7.3,".283",".434",".339","0.773",".336"
"Smith, Josh","669701","2024","327","11",19.9,9.2,".284",".453",".382","0.835",".367"
"Donovan, Brendan","680977","2024","394","9",12.8,6.8,".261",".391",".329","0.720",".318"
"McCarthy, Jake","664983","2024","236","3",17.3,8.8,".280",".394",".361","0.755",".333"
"Cruz, Oneil","665833","2024","356","17",32,7.2,".253",".469",".307","0.776",".330"
"Seager, Corey","608369","2024","355","19",17.5,11.4,".276",".476",".363","0.839",".357"
"Goldschmidt, Paul","502671","2024","409","16",28.4,7,".232",".389",".290","0.679",".297"
"Guerrero Jr., Vladimir","665489","2024","412","21",15.6,9.9,".311",".524",".380","0.904",".387"
"Lee, Jung Hoo","808982","2024","145","2",8.2,6.3,".262",".331",".310","0.641",".285"
"India, Jonathan","663697","2024","342","8",19.5,12.8,".263",".401",".367","0.768",".341"
"Cronenworth, Jake","630105","2024","395","14",18.3,7.7,".248",".413",".317","0.730",".319"
"Cave, Jake","595909","2024","203","3",27.3,6.8,".256",".369",".305","0.674",".293"
"d'Arnaud, Travis","518595","2024","205","9",21.9,7,".259",".459",".320","0.779",".336"
"Blackmon, Charlie","453568","2024","293","7",17.2,8.6,".256",".413",".331","0.744",".325"
"Ramírez, Harold","623912","2024","215","2",19.4,1.8,".284",".349",".302","0.651",".285"
"Diaz, Yainer","673237","2024","366","9",14.7,3.9,".287",".426",".311","0.737",".316"
"Báez, Javier","595879","2024","230","4",21.4,3.3,".178",".274",".210","0.484",".212"
"Hernández, Enrique","571771","2024","226","6",22.6,8.5,".204",".319",".270","0.589",".263"
"Ramírez, José","608070","2024","410","26",13,7.4,".276",".527",".330","0.857",".360"
"Caballero, José","676609","2024","288","7",27.8,6,".236",".361",".296","0.657",".291"
"Lee, Brooks","686797","2024","80","2",15.9,6.8,".237",".325",".284","0.609",".269"
"Robert Jr., Luis","673357","2024","204","12",36.6,8.9,".221",".451",".290","0.741",".317"
"Julien, Edouard","666397","2024","181","7",35.4,12.9,".204",".354",".311","0.665",".299"
"Bader, Harrison","664056","2024","284","8",21.5,4.6,".268",".408",".309","0.717",".311"
"Henderson, Gunnar","683002","2024","417","28",23.2,11.3,".283",".556",".372","0.928",".395"
"Brennan, Will","686823","2024","227","8",12.1,6.5,".233",".379",".291","0.670",".291"
"Stanton, Giancarlo","519317","2024","264","18",31.5,7.3,".242",".485",".301","0.786",".338"
"Winker, Jesse","608385","2024","318","11",22.2,14.1,".258",".418",".375","0.793",".351"
"Merrill, Jackson","701538","2024","366","12",18.8,4.4,".284",".443",".315","0.758",".326"
"Schuemann, Max","680474","2024","250","6",26,11.3,".256",".364",".346","0.710",".318"
"Outman, James","681546","2024","132","4",34.9,9.4,".152",".273",".248","0.521",".239"
"Larnach, Trevor","663616","2024","214","11",20,9.2,".243",".439",".317","0.756",".328"
"Olivares, Edward","658668","2024","174","5",18.9,8.2,".224",".333",".291","0.624",".277"
"Nevin, Tyler","663527","2024","171","6",22.8,9.6,".205",".351",".299","0.650",".291"
"Soderstrom, Tyler","691016","2024","146","7",27.1,9.6,".219",".404",".307","0.711",".310"
"McKinstry, Zach","656716","2024","184","3",24.1,6.5,".179",".293",".236","0.529",".235"
"Iglesias, Jose","578428","2024","111","3",10,5,".342",".514",".392","0.906",".390"
"Ahmed, Nick","605113","2024","172","2",22.1,5.8,".233",".314",".278","0.592",".262"
"Arozarena, Randy","668227","2024","361","16",24.6,11.1,".219",".407",".325","0.732",".323"
"Bauers, Jake","641343","2024","203","8",31.1,11.5,".222",".404",".328","0.732",".322"
"Díaz, Yandy","650490","2024","393","9",14.5,7.5,".270",".397",".326","0.723",".318"
"Wade, Tyler","642180","2024","102","0",19.7,8.5,".235",".255",".310","0.565",".262"
"Perez, Salvador","521692","2024","384","19",19.4,6.6,".276",".466",".334","0.800",".340"
"Bouchard, Sean","656248","2024","91","1",30.6,11.1,".187",".297",".290","0.587",".267"
"Brown, Seth","664913","2024","220","9",31.8,7.5,".218",".377",".280","0.657",".289"
"Albies, Ozzie","645277","2024","361","8",15.5,6.1,".258",".407",".310","0.717",".312"
"Bichette, Bo","666182","2024","305","4",18.8,6.1,".223",".321",".276","0.597",".264"
"Rosario, Amed","642708","2024","264","2",17.5,2.5,".307",".417",".331","0.748",".325"
"Duran, Ezequiel","677649","2024","180","2",22.5,4.7,".256",".322",".293","0.615",".273"
"Perdomo, Geraldo","672695","2024","146","0",15,7.2,".253",".322",".311","0.633",".281"
"Pham, Tommy","502054","2024","271","5",21.2,8.4,".266",".380",".330","0.710",".314"
"Canha, Mark","592192","2024","320","7",21,11.1,".231",".350",".337","0.687",".308"
"Sosa, Edmundo","624641","2024","181","5",23.6,5,".276",".453",".333","0.786",".341"
"Jones, Nolan","666134","2024","163","3",33,13.1,".202",".313",".311","0.624",".280"
"Contreras, William","661388","2024","411","11",19.4,9.6,".285",".433",".355","0.788",".344"
"Murphy, Sean","669221","2024","124","6",23.7,9.4,".210",".379",".295","0.674",".296"
"Nido, Tomás","621512","2024","130","4",25,3.6,".192",".315",".219","0.534",".231"
"Happ, Ian","664023","2024","362","16",26.7,12.8,".232",".434",".338","0.772",".337"
"Altuve, Jose","514888","2024","425","14",18.8,6.1,".311",".459",".359","0.818",".356"
"Ohtani, Shohei","660271","2024","407","32",22.5,12.6,".314",".639",".404","1.043",".435"
"Mastrobuoni, Miles","670156","2024","90","0",14.3,7.1,".200",".233",".255","0.488",".223"
"Contreras, Willson","575929","2024","216","13",27.9,14,".269",".509",".388","0.897",".388"
"LeMahieu, DJ","518934","2024","138","1",16.4,10.7,".174",".217",".266","0.483",".227"
"Julks, Corey","667452","2024","112","3",25,9.7,".232",".375",".306","0.681",".301"
"McMahon, Ryan","641857","2024","383","15",28.1,11.2,".261",".433",".346","0.779",".339"
"Tellez, Rowdy","642133","2024","254","9",20.6,7.1,".248",".398",".302","0.700",".304"
"Shewmake, Braden","669699","2024","64","1",14.9,1.5,".125",".203",".134","0.337",".144"
"Hamilton, David","666152","2024","222","5",25.5,6.7,".257",".392",".310","0.702",".308"
"Witt Jr., Bobby","677951","2024","427","19",15.6,6.4,".347",".597",".391","0.988",".416"
"Valdez, Enmanuel","665839","2024","164","6",23.6,7.7,".226",".402",".282","0.684",".295"
"Bogaerts, Xander","593428","2024","232","5",17.4,5.7,".272",".384",".312","0.696",".305"
"Mountcastle, Ryan","663624","2024","373","13",21.1,5.7,".276",".448",".316","0.764",".329"
"Adams, Riley","656180","2024","99","2",29.5,8,".222",".333",".295","0.628",".276"
"Estrada, Thairo","642731","2024","329","9",19.4,2.9,".216",".353",".249","0.602",".261"
"Bellinger, Cody","641355","2024","312","9",17.2,7.8,".269",".410",".331","0.741",".321"
"O'Hearn, Ryan","656811","2024","293","12",12.2,9.5,".276",".464",".348","0.812",".350"
"Schanuel, Nolan","694384","2024","342","11",16.4,11.2,".251",".380",".346","0.726",".323"
"Vaughn, Andrew","683734","2024","376","12",23,6.1,".234",".383",".289","0.672",".294"
"Moreno, Gabriel","672515","2024","261","4",14.1,11.1,".253",".368",".339","0.707",".314"
"Yepez, Juan","660766","2024","77","2",14,7,".364",".571",".407","0.978",".415"
"Hoskins, Rhys","656555","2024","283","18",27.1,10.1,".219",".442",".309","0.751",".324"
"Soto, Juan","665742","2024","384","27",15.5,18.1,".310",".599",".435","1.034",".438"
"Moore, Dylan","664238","2024","261","9",27.5,10.1,".207",".402",".308","0.710",".311"
"Vargas, Miguel","678246","2024","71","3",20,10,".239",".423",".313","0.736",".319"
"DeLuca, Jonny","676356","2024","176","3",25.5,8.2,".176",".278",".256","0.534",".243"
"O'Hoppe, Logan","681351","2024","320","14",25.5,5.4,".278",".456",".333","0.789",".343"
"Lowe, Brandon","664040","2024","191","12",24.1,10.9,".262",".524",".355","0.879",".375"
"Higashioka, Kyle","543309","2024","145","12",29.4,5.2,".228",".524",".268","0.792",".335"
"Kiner-Falefa, Isiah","643396","2024","257","7",13.2,4.6,".292",".420",".338","0.758",".331"
"Sheets, Gavin","657757","2024","304","7",20.9,10.2,".220",".359",".305","0.664",".294"
"Chapman, Matt","656305","2024","396","15",23.9,11.3,".242",".424",".334","0.758",".331"
"Vientos, Mark","668901","2024","218","14",26.3,7.9,".284",".541",".342","0.883",".376"
"Vargas, Ildemaro","545121","2024","193","1",9.7,7.4,".269",".358",".324","0.682",".301"
"Goodman, Hunter","696100","2024","136","7",29.7,2.8,".176",".382",".214","0.596",".255"
"Baty, Brett","683146","2024","153","4",24.6,9.4,".229",".327",".306","0.633",".283"
"Alexander, Blaze","677942","2024","158","3",25.7,7.4,".259",".361",".328","0.689",".307"
"Kim, Ha-Seong","673490","2024","357","10",16.6,12.5,".232",".373",".331","0.704",".310"
"Rocchio, Brayan","677587","2024","259","3",20.4,9.7,".201",".286",".293","0.579",".263"
"Jansen, Danny","643376","2024","201","6",18.1,11.2,".219",".373",".310","0.683",".302"
"Laureano, Ramón","657656","2024","120","3",36.6,6,".183",".325",".261","0.586",".262"
"Gordon, Nick","624503","2024","242","8",24.1,4.3,".231",".384",".265","0.649",".280"
"Clement, Ernie","676391","2024","230","6",7.1,2.1,".270",".422",".286","0.708",".304"
"Florial, Estevan","664314","2024","98","3",36.9,9.9,".173",".367",".264","0.631",".277"
"Santander, Anthony","623993","2024","391","30",18.5,7.4,".243",".524",".309","0.833",".355"
"Meyers, Jake","676694","2024","301","11",21.7,6.9,".236",".409",".302","0.711",".311"
"Nootbaar, Lars","663457","2024","199","7",21.1,12.3,".236",".397",".330","0.727",".320"
"Smith, Dominic","642086","2024","207","6",22.2,10.3,".232",".386",".321","0.707",".314"
"Swanson, Dansby","621020","2024","339","9",26.3,8.8,".218",".342",".290","0.632",".279"
"Winn, Masyn","691026","2024","363","6",18.4,7.1,".281",".402",".329","0.731",".318"
"Reynolds, Bryan","668804","2024","410","18",21.1,8.4,".288",".483",".354","0.837",".361"
"Burleson, Alec","676475","2024","359","18",12.7,4.1,".281",".471",".313","0.784",".336"
"Thomas, Lane","657041","2024","300","8",21.1,9.4,".253",".407",".331","0.738",".323"
"Duran, Jarren","680776","2024","443","13",22.1,7.8,".291",".508",".350","0.858",".367"
"Wells, Austin","669224","2024","199","8",19.3,13,".241",".422",".342","0.764",".334"
"Miranda, Jose","669304","2024","259","9",13.5,5,".324",".517",".367","0.884",".378"
"Keith, Colt","690993","2024","329","11",18.2,7.3,".255",".404",".313","0.717",".313"
"Grisham, Trent","663757","2024","136","6",25.5,11.8,".191",".375",".300","0.675",".297"
"Semien, Marcus","543760","2024","428","15",13.3,9.3,".245",".404",".316","0.720",".315"
"Smith, Will","669257","2024","328","15",19.4,9.8,".256",".457",".335","0.792",".338"
"Encarnacion-Strand, Christian","687952","2024","116","2",28.5,3.3,".190",".293",".220","0.513",".224"
"Refsnyder, Rob","608701","2024","184","5",24.4,10.3,".310",".478",".396","0.874",".380"
"Yastrzemski, Mike","573262","2024","257","8",27.2,8.4,".249",".440",".322","0.762",".329"
"Kiermaier, Kevin","595281","2024","200","4",30.4,4.6,".195",".310",".236","0.546",".240"
"Lewis, Royce","668904","2024","101","11",18.8,8.9,".287",".673",".348","1.021",".421"
"Margot, Manuel","622534","2024","218","3",15.5,6.7,".248",".349",".305","0.654",".290"
"Bell, Josh","605137","2024","398","14",20,7.7,".239",".394",".305","0.699",".305"
"Kelenic, Jarred","672284","2024","311","11",29.4,6.5,".235",".395",".286","0.681",".296"
"Rojas, Josh","668942","2024","296","5",21,10.5,".240",".358",".322","0.680",".303"
"Walls, Taylor","670764","2024","97","0",30.8,15.4,".144",".186",".274","0.460",".224"
"Tovar, Ezequiel","678662","2024","435","17",27.9,3.2,".287",".485",".313","0.798",".341"
"Pache, Cristian","665506","2024","105","0",36.1,10.9,".210",".276",".294","0.570",".260"
"Stewart, DJ","621466","2024","151","5",24.1,16.6,".172",".298",".326","0.624",".292"
"Rivera, Emmanuel","656896","2024","160","0",23.2,9.7,".212",".263",".299","0.562",".258"
"Sánchez, Gary","596142","2024","150","7",28.6,7.1,".213",".393",".286","0.679",".297"
"Harris II, Michael","671739","2024","260","5",21.2,5.4,".250",".358",".295","0.653",".286"
"Garver, Mitch","641598","2024","288","12",31.2,12.9,".174",".347",".291","0.638",".287"
"Giménez, Andrés","665926","2024","378","5",14.7,4.1,".249",".333",".299","0.632",".281"
"Ruiz, Keibert","660688","2024","282","8",11.1,3,".220",".340",".252","0.592",".258"
"Rios, Edwin","621458","2024","9","0",40,10,".111",".111",".200","0.311",".157"
"Martínez, J.P.","679881","2024","10","0",40,0,".200",".300",".200","0.500",".214"
"Kennedy, Buddy","671083","2024","10","1",30.8,15.4,".200",".500",".308","0.808",".332"
"Thompson, Bubba","669352","2024","18","0",61.1,0,".111",".167",".111","0.278",".119"
"Rivas, Leo","660844","2024","11","0",36.4,0,".273",".455",".273","0.728",".305"
"Gamel, Ben","592325","2024","13","0",29.4,23.5,".231",".308",".412","0.720",".340"
"Reetz, Jakson","656883","2024","12","1",33.3,0,".083",".333",".083","0.416",".171"
"Williams, Luke","663897","2024","12","0",28.6,7.1,".083",".083",".214","0.297",".164"
"Kemp, Tony","643393","2024","9","0",10,10,".000",".000",".100","0.100",".069"
"Jordan, Levi","682119","2024","10","0",27.3,0,".100",".200",".091","0.291",".114"
"White, Eli","642201","2024","13","1",30.8,0,".231",".615",".231","0.846",".349"
"Barrosa, Jorge","678489","2024","10","0",10,0,".200",".300",".200","0.500",".214"
"McKenna, Ryan","663630","2024","14","2",33.3,6.7,".214",".643",".267","0.910",".379"
"Berroa, Steward","672642","2024","14","0",31.3,12.5,".143",".214",".250","0.464",".220"
"Robinson, Chuckie","642020","2024","11","0",9.1,0,".182",".182",".182","0.364",".161"
"Serven, Brian","661531","2024","15","0",27.8,11.1,".067",".067",".222","0.289",".166"
"Waters, Drew","671221","2024","16","0",31.6,10.5,".188",".250",".316","0.566",".270"
"Kessinger, Grae","666197","2024","15","0",33.3,0,".000",".000",".000","0.000",".000"
"Haggerty, Sam","664059","2024","15","0",25,6.3,".067",".067",".125","0.192",".098"
"Nuñez, Nasim","683083","2024","14","0",18.8,12.5,".143",".143",".250","0.393",".197"
"Dunn, Blake","694362","2024","18","0",35,5,".056",".111",".150","0.261",".133"
"Ortega, Rafael","542364","2024","14","0",23.5,11.8,".071",".071",".176","0.247",".133"
"Sullivan, Brett","664954","2024","16","1",23.5,5.9,".188",".375",".235","0.610",".265"
"Foscue, Justin","679822","2024","19","0",36.8,0,".105",".158",".105","0.263",".113"
