"last_name, first_name","player_id","year","ab","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba"
"García, Avisaíl","541645","2024","50","2",25.5,2,".240",".380",".255","0.635",".275"
"Hill, Derek","656537","2024","53","3",29.1,3.6,".264",".472",".291","0.763",".327"
"Baddoo, Akil","668731","2024","60","2",34.8,11.6,".117",".300",".217","0.517",".230"
"Schmitt, Casey","669477","2024","45","3",16.7,2.1,".244",".511",".271","0.782",".328"
"Dahl, David","621311","2024","58","3",33.9,4.8,".207",".397",".242","0.639",".273"
"Jimenez, Leo","677870","2024","53","0",26.7,5,".245",".302",".317","0.619",".281"
"Ruiz, Esteury","665923","2024","55","2",30.8,6.2,".200",".382",".270","0.652",".281"
"Mitchell, Garrett","669003","2024","55","1",25.4,12.7,".273",".400",".365","0.765",".340"
"Ramos, Bryan","682868","2024","46","0",16.7,2.1,".196",".239",".208","0.447",".196"
"Bliss, Ryan","669208","2024","59","1",31.3,7.5,".220",".356",".292","0.648",".287"
"Fermín, José","665877","2024","46","0",11.8,7.8,".130",".174",".216","0.390",".186"
"Crawford, Brandon","543063","2024","62","1",29.6,11.3,".161",".274",".268","0.542",".250"
"Reyes, Pablo","622569","2024","60","0",29.7,4.7,".183",".217",".234","0.451",".207"
"Noel, Jhonkensy","678877","2024","63","6",33.3,4.3,".254",".587",".304","0.891",".374"
"Dalbec, Bobby","666915","2024","83","1",46.2,8.6,".133",".193",".217","0.410",".194"
"Hurtubise, Jacob","674441","2024","54","0",26.5,8.8,".185",".241",".297","0.538",".253"
"Walker, Jordan","691023","2024","58","0",26.9,9,".155",".259",".239","0.498",".224"
"Berti, Jon","542932","2024","55","1",21.7,6.7,".273",".327",".322","0.649",".291"
"Marchán, Rafael","665561","2024","51","3",14.3,5.4,".294",".549",".345","0.894",".383"
"Ford, Mike","645801","2024","60","1",24.2,3.2,".150",".233",".177","0.410",".181"
"Kjerstad, Heston","677008","2024","69","3",29.6,11.1,".261",".420",".370","0.790",".344"
"Scott II, Victor","687363","2024","59","0",23.1,3.1,".085",".136",".138","0.274",".129"
"Davis, Henry","680779","2024","85","1",39.2,12.7,".153",".235",".267","0.502",".236"
"Clemens, Kody","665019","2024","62","3",23.1,4.6,".242",".500",".277","0.777",".329"
"Urías, Luis","649966","2024","79","3",34.1,7.7,".152",".316",".264","0.580",".264"
"Smith, Pavin","656976","2024","56","3",14.8,6.6,".268",".518",".311","0.829",".351"
"Casali, Curt","592200","2024","58","0",15.9,13,".207",".241",".324","0.565",".269"
"Thaiss, Matt","642136","2024","78","1",33.3,13.3,".231",".346",".333","0.679",".307"
"Sanó, Miguel","593934","2024","83","2",37.9,9.5,".205",".313",".295","0.608",".275"
"Trejo, Alan","676701","2024","63","0",22.4,3,".143",".143",".182","0.325",".152"
"Barger, Addison","680718","2024","69","1",27.8,2.8,".174",".261",".197","0.458",".201"
"Short, Zack","670097","2024","70","0",27.3,15.9,".129",".171",".282","0.453",".229"
"Beck, Jordan","687597","2024","79","2",37,1.2,".190",".316",".198","0.514",".214"
"Meadows, Parker","678009","2024","84","3",35.1,12.4,".131",".286",".247","0.533",".244"
"Fletcher, Dominic","666150","2024","75","0",31,7.1,".173",".227",".253","0.480",".224"
"Hedges, Austin","595978","2024","83","1",37.8,4.4,".157",".229",".211","0.440",".200"
"Palacios, Joshua","641943","2024","61","2",14.5,10.1,".230",".344",".319","0.663",".299"
"Cabbage, Trey","663550","2024","80","1",34.5,3.6,".225",".362",".262","0.624",".272"
"Williams, Alika","675961","2024","62","0",20.3,2.9,".210",".290",".246","0.536",".237"
"Barnhart, Tucker","571466","2024","81","0",32.3,13.5,".173",".210",".287","0.497",".239"
"Casas, Triston","671213","2024","78","6",28.9,13.3,".244",".513",".344","0.857",".362"
"Torrens, Luis","620443","2024","65","3",19.4,6.9,".308",".538",".361","0.899",".383"
"Hernaiz, Darell","687231","2024","66","0",21.3,8,".182",".182",".243","0.425",".199"
"Myers, Dane","667472","2024","83","2",33.7,7.4,".265",".422",".337","0.759",".330"
"Allen, Nick","669397","2024","70","1",24.7,6.5,".171",".243",".227","0.470",".213"
"Vogelbach, Daniel","596129","2024","70","1",21.5,11.4,".186",".300",".278","0.578",".262"
